Lp. Nazwa oferty, Cena, Cena za m2
1. Umeblowane 2-pok. przy lesie, panoramiczny widok, 495 000 zł, 12 375 zł/m²
2. Mieszkanie Rozewska, 525 000 zł, 9906 zł/m²
3. Dwa pokoje przy Skm świetna inwestycja!!!, 360 000 zł, 10 909 zł/m²
4. Mieszkanie dla korzystających z miasta lub wynajem, 570 000 zł, 14 489 zł/m²
5. Nowe mieszkanie | Mała Chylońska | A.1.01, 547 460 zł, 12 400 zł/m²
6. Tylko u nas. Mieszkanie 3 pokoje z super widokiem, 520 000 zł, 9811 zł/m²
7. Przestronna kawalerka z zabudowanym balkonem, 459 000 zł, 13 909 zł/m²
8. 2-pokojowe mieszkanie 46m2 + ogródek Bez Prowizji, 454 930 zł, 9700 zł/m²
9. 2pok. Mieszkanie Gdynia WielkiKack ul.Nowodworcowa, 593 400 zł, 12 900 zł/m²
10. Do remontu. Świetna lokalizacja!, 350 000 zł, 11 364 zł/m²
11. Gdynia, ul. Morska - mieszkanie na sprzedaż, 595 000 zł, 12 703 zł/m²
12. Mieszkanie - Gdynia Dąbrowa, 587 000 zł, 11 328 zł/m²
13. 2 pokoje z ogródkiem | Wiczlino Ogród, 599 000 zł, 13 019 zł/m²
14. 2 pok. ekspozycja południowo-zachodnia!, 560 420 zł, 11 774 zł/m²
15. Mieszkanie Gdynia inwestycyjne - oferta do 31.05, 298 000 zł, 16 556 zł/m²
16. Urokliwa kawalerka z kominkiem w Gdyni Śródmieście, 300 000 zł, 13 711 zł/m²
17. 3 pok. Generalny remont. Bezpośrednio., 549 000 zł, 11 935 zł/m²
18. 3 pokoje po remoncie blisko lasu Chylonia, 559 000 zł, 12 152 zł/m²
19. Atrakcyjne mieszkanie 2-pokoje Władysława IV, 500 000 zł, 12 195 zł/m²
20. Gdynia Obłuże 11 piętro, 450 000 zł, 10 227 zł/m²
21. Sprzedam 2 pokoje Gdynia blisko Centrum!, 459 000 zł, 12 754 zł/m²
22. Mieszkanie - Gdynia Pustki Cisowskie Demptowo, 559 000 zł, 9312 zł/m²
23. Mieszkanie Gdynia Chylonia 45mkw, 474 900 zł, 10 507 zł/m²
24. Spółdzielczo własnościowe| 2 pokoje| od zaraz, 449 999 zł, 9734 zł/m²
25. Mieszkanie - Gdynia Fikakowo, 589 000 zł, 9817 zł/m²
26. Przestronne i Jasne Mieszkanie w Gdyni, 495 000 zł, 11 379 zł/m²
27. Umeblowane 2-pok. przy lesie, panoramiczny widok, 495 000 zł, 12 375 zł/m²
28. [Rezerwacja] 2 pokoje | Chylonia | Skm 8 minut, 399 000 zł, 10 445 zł/m²
29. Blisko szkoła, przychodnia, przystanek kolejowy, 499 000 zł, 9596 zł/m²
30. Gdynia Dąbrowa 51,5m2 Szafranowa parter 2 pokoje, 499 000 zł, 9689 zł/m²
31. Dwa pokoje, blisko plaży z widokiem na Gdynie, 520 000 zł, 16 503 zł/m²
32. Zaskakująca funkcjonalność na 27 M 2, 355 000 zł, 13 148 zł/m²
33. Mieszkanie dwupokojowe po remoncie, z windą, 458 900 zł, 11 870 zł/m²
